Xc,Yc,array
877.8,16,25.94114875793457
884.4,16,12.475183486938477
891.0,16,15.2056303
897.5999999999999,16,20.03855323791504
904.2,16,17.156744
910.8,16,13.15329647064209
917.4,16,10.310622215270996
924.0,16,16.768850326538086
930.6,16,15.251875877380373
937.2,16,10.72620677947998
943.8,16,11.923202514648438
950.4,16,26.839208602905277
957.0,16,11.437825202941896
963.6,16,12.288375854492188
970.2,16,14.30249309539795
976.8,16,12.483505249023438
983.4,16,8.258006096
990.0,16,10.134319305419922
996.6,16,13.88783836364746
1003.2,16,9.365097045898438
1009.8,16,7.524233341217041
1016.4,16,3.3001084327697754
1023.0,16,0.2442991435527801
1029.6,16,4.045632839202881
1036.2,16,19.461196899414062
1042.8,16,11.339157104492188
1049.4,16,10.57544231414795
1056.0,16,13.458730697631836
1062.6,16,16.275205612182617
1069.2,16,11.721627235412598
1075.8,16,18.50335502624512
1082.4,16,15.100028038024902
1089.0,16,14.718010902404783
1095.6,16,12.197422981262209
1102.2,16,7.410514355
1108.8,16,24.001117706298828
1115.4,16,13.781292915344238
1122.0,16,16.67319107055664
1128.6,16,7.887039184570312
1135.2,16,9.033525466918944
1141.8,16,31.658754348754883
1148.4,16,31.76053810119629
1155.0,16,181.35550936073815
1161.6,16,11.888642311096191
1168.2,16,17.365795135498047
1174.8,16,19.99388313293457
1181.4,16,7.578318119049072
1188.0,16,11.350110054016112
1194.6,16,7.996323585510254
1201.2,16,20.539756774902344
1207.8,16,13.98460865020752
1214.4,16,11.967358589172363
1221.0,16,11.93431282043457
1227.6,16,27.33252525
1234.2,16,42.62475586
1240.8,16,9.245615959
1247.4,16,13.30526065826416
1254.0,16,34.325477600097656
1260.6,16,0.4797723293304443
1267.1999999999998,16,0.062210716
1273.8,16,2.677911281585694
1280.4,16,0.3295901715755462
1287.0,16,32.391395568847656
1293.6,16,2.541327953338623
1300.1999999999998,16,0.053961981
1306.8,16,17.21624755859375
1313.4,16,117.2648926
1320.0,16,96.05289459228516
1326.6,16,150.34027099609375
1333.1999999999998,16,138.47227478027344
1339.8,16,130.0194549560547
1346.4,16,123.68146514892578
1353.0,16,181.35550936073815
1359.6,16,52.30433273
1366.1999999999998,16,26.504383087158203
1372.8,16,0.410901815
1379.4,16,22.78948783874512
1386.0,16,26.554399490356445
